TILE_ID,NUMBER,RA,DEC,FWHM_WORLD,uJAVA,Ax_uJAVA,J0378,Ax_J0378,J0395,Ax_J0395,J0410,Ax_J0410,J0430,Ax_J0430,gSDSS,Ax_gSDSS,J0515,Ax_J0515,rSDSS,Ax_rSDSS,J0660,Ax_J0660,iSDSS,Ax_iSDSS,J0861,Ax_J0861,zSDSS,Ax_zSDSS,W1,W2,W3,W4,J,H,K,sglc_prob_star,parallax,parallax_error,G,BP,RP,Ax_G,BP_RP,EXT_BP_RP,Teff_GAIA,ebv,ebv_err,RV,RV_error,ra_obs,dec_obs,snr,objtype,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,teff_lasp,teff_lasp_err,logg_lasp,logg_lasp_err,feh_lasp,feh_lasp_err,vsini_lasp,vsini_lasp_err,rv_b0,rv_b0_err,rv_b1,rv_b1_err,rv_b_flag,rv_r0,rv_r0_err,rv_r1,rv_r1_err,rv_r_flag,rv_br0,rv_br0_err,rv_br1,rv_br1_err,rv_br_flag,rv_lasp0,rv_lasp0_err,rv_lasp1,rv_lasp1_err,coadd,fibermask,alpha_m_cnn,teff_cnn,logg_cnn,feh_cnn,c_fe,n_fe,o_fe,mg_fe,al_fe,si_fe,s_fe,ca_fe,ti_fe,cr_fe,ni_fe,cu_fe
71475,9404,3.97387890507,0.322565627189,3.6897822E-4,15.622,0.10401,15.358,0.099714,15.262,0.098135,14.685,0.093421,14.613,0.0896126,14.226,0.0789074,14.088,0.073102,13.813,0.0553373,13.764,0.0501821,13.683,0.0404754,13.662,0.0320692,13.649,0.0299328,12.236,12.263,12.24,8.604,12.639,12.287,12.252,1.0,1.4387,0.0359,13.725935,14.07241,13.223905,0.2332,0.848505,0.1085,5793.33,0.023221713,0.012001,,,3.9737896,0.3226462,30.53,Star,ugriz,99.0,14.09,13.73,13.61,13.5,99.0,99.0,5572.67,40.14,3.971,0.049,-0.275,0.029,-9999.0,0.0,-48.01,0.86,-43.19,1.26,0,-46.46,0.95,-41.44,1.78,0,-47.69,0.95,-42.6,1.36,0,-48.94,0.84,-42.46,1.33,1,0,0.027,5657.76,4.13,-0.142,0.08949,-0.0786,-9999.0,0.05267,-9999.0,0.04773,-9999.0,0.02737,-9999.0,-9999.0,0.0303,-9999.0
71475,9842,2.90069589866,0.283994948283,3.805736E-4,14.721,0.128752,14.361,0.123434,14.26,0.121479,13.844,0.115644,13.777,0.11093,13.525,0.0976778,13.389,0.0904914,13.213,0.068501,13.184,0.0621194,13.134,0.0501037,13.129,0.0396978,13.122,0.0370532,11.839,11.872,11.47,8.911,12.171,11.925,11.873,1.0,0.9169,0.0382,13.110861,13.392943,12.674407,,0.718536,,6351.21,0.028745685,0.012001,,,2.9007338,0.2840281,54.1,Star,ugriz,99.0,13.42,13.06,13.71,12.99,99.0,99.0,6010.33,36.18,3.818,0.04,-0.406,0.025,-9999.0,0.0,-10.66,0.48,-4.56,0.83,0,-10.15,0.57,-5.38,1.38,0,-10.51,0.66,-4.65,1.12,0,-10.78,0.79,-3.69,1.18,1,0,0.047,5980.27,4.141,-0.278,0.10412,0.24584,-9999.0,0.08857,-9999.0,0.05511,-9999.0,-0.00577,-9999.0,-9999.0,0.01223,-9999.0
71475,10896,2.99716120868,1.09696304076,3.6455842E-4,16.251,0.111191,16.142,0.106599,15.869,0.10491,15.195,0.0998709,15.072,0.0957996,14.597,0.0843553,14.438,0.0781491,14.048,0.059158,13.984,0.0536468,13.893,0.04327,13.835,0.0342833,13.82,0.0319994,12.287,12.351,12.109,8.953,12.795,12.467,12.361,1.0,1.7222,0.0491,13.989673,14.401648,13.426763,0.1887,0.974885,0.0777,5361.0,0.024824992,0.012001,,,2.997217,1.09711,30.11,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5449.6,35.86,4.446,0.043,0.081,0.026,-9999.0,0.0,-33.1,0.95,-27.0,1.17,0,-31.82,1.15,-27.05,1.7,0,-32.76,1.13,-26.9,1.45,0,-33.65,0.75,-26.56,1.15,1,0,-0.021,5377.33,4.484,0.063,0.0145,0.06772,-9999.0,0.02025,-9999.0,0.00458,-9999.0,-0.01143,-9999.0,-9999.0,0.04671,-9999.0
71475,10959,3.16732536976,1.09143376594,3.70988E-4,15.891,0.115441,15.719,0.110673,15.413,0.108921,14.769,0.103688,14.621,0.0994615,14.155,0.0875797,13.999,0.0811363,13.593,0.0614192,13.519,0.0556974,13.436,0.0449239,13.386,0.0355938,13.371,0.0332226,11.773,11.87,12.017,8.5,12.334,11.945,11.832,1.0,1.2491,0.0449,13.534788,13.952194,12.971611,0.988,0.980583,0.5035,5360.75,0.02577391,0.012001,,,3.167238,1.09142,28.61,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5435.91,37.76,4.245,0.046,0.268,0.027,-9999.0,0.0,0.15,1.15,6.25,1.33,0,0.57,1.2,5.34,1.74,0,0.21,1.22,6.07,1.52,0,-1.03,0.79,6.06,1.18,1,0,-0.018,5339.84,4.173,0.192,0.02804,0.09165,-9999.0,0.00293,-9999.0,0.01009,-9999.0,0.00665,-9999.0,-9999.0,0.03825,-9999.0
71475,10983,3.72992552546,1.09186936655,3.7747133E-4,16.462,0.105713,16.332,0.101347,15.939,0.0997418,15.123,0.0949506,14.868,0.0910799,14.215,0.0801994,14.009,0.0742989,13.447,0.0562434,13.334,0.0510038,13.165,0.0411382,13.052,0.0325943,13.029,0.0304229,11.098,11.196,10.994,8.696,11.814,11.265,11.15,1.0,0.3878,0.0236,13.382662,13.93559,12.69746,,1.23813,,5021.26,0.02360193,0.012001,,,3.729926,1.091859,48.25,Star,gri,14.15,13.34,13.02,99.0,99.0,99.0,99.0,4711.37,35.38,2.957,0.04,-0.179,0.024,-9999.0,0.0,-8.37,0.94,-2.27,1.17,0,-7.49,0.68,-2.72,1.43,0,-8.2,1.13,-2.34,1.45,0,-9.42,0.77,-2.33,1.16,1,0,0.058,4743.41,2.715,-0.185,0.07078,0.0814,0.09136,0.0949,0.07891,0.05464,0.06172,0.04616,0.01869,0.00934,0.0301,0.0221
71475,12696,3.56258608348,0.929639066064,3.815058E-4,16.062,0.109388,15.824,0.10487,15.735,0.103209,15.234,0.0982515,15.18,0.0942463,14.838,0.0829875,14.704,0.0768819,14.446,0.0581987,14.407,0.0527769,14.334,0.0425683,14.322,0.0337274,14.308,0.0314805,12.942,12.982,12.093,8.798,13.317,12.964,12.934,1.0,0.9755,0.0484,14.359549,14.680439,13.873694,0.276,0.806745,0.1273,5823.5,0.024422457,0.012001,,,3.5625659,0.9296917,24.6,Star,ugriz,99.0,14.67,14.32,14.23,14.19,99.0,99.0,5763.16,39.29,4.197,0.048,-0.395,0.029,-9999.0,0.0,-71.19,0.78,-65.09,1.03,0,-68.35,1.35,-63.58,1.84,0,-70.42,0.92,-64.56,1.29,0,-72.24,0.81,-65.15,1.19,1,0,0.09,5813.6,4.378,-0.311,0.09564,-0.01817,-9999.0,0.14052,-9999.0,0.10041,-9999.0,0.06545,-9999.0,-9999.0,0.02273,-9999.0
71475,12762,3.73626389462,0.922813643033,3.7280575E-4,15.461,0.102516,15.296,0.0982818,15.003,0.0967254,14.377,0.0920791,14.226,0.0883254,13.769,0.077774,13.621,0.0720519,13.251,0.0545425,13.192,0.0494613,13.113,0.0398941,13.084,0.0316086,13.068,0.0295028,11.578,11.647,11.358,8.204,12.029,11.719,11.62,1.0,1.7233,0.03,13.192125,13.584912,12.651272,0.5147,0.933641,0.2535,5436.0,0.022888163,0.012001,,,3.73623,0.922765,30.7,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5452.66,48.56,4.141,0.059,0.302,0.035,-9999.0,0.0,-4.16,0.95,1.94,1.17,0,-3.24,1.13,1.53,1.69,0,-4.02,1.09,1.84,1.42,0,-5.1,1.02,1.99,1.34,1,0,-0.01,5422.93,4.165,0.167,-0.01006,0.2163,-9999.0,0.01377,-9999.0,0.05273,-9999.0,-0.03176,-9999.0,-9999.0,0.04096,-9999.0
71475,12783,3.70493454766,0.914984128717,3.8024576E-4,15.319,0.103171,15.134,0.09891,14.927,0.0973437,14.342,0.0926677,14.229,0.08889,13.818,0.0782711,13.677,0.0725125,13.324,0.0548911,13.263,0.0497775,13.183,0.0401491,13.146,0.0318106,13.138,0.0296914,11.633,11.674,11.782,8.611,12.084,11.748,11.696,1.0,1.5501,0.0332,13.253793,13.631878,12.721321,0.4613,0.910557,0.2273,5419.67,0.02303447,0.012001,,,3.704921,0.914982,48.59,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5640.56,35.4,4.195,0.04,0.127,0.024,-9999.0,0.0,2.26,0.76,8.36,1.02,0,2.41,0.75,7.18,1.46,0,2.19,0.95,8.04,1.31,0,1.24,0.77,8.33,1.16,1,0,-0.018,5516.32,4.249,0.069,-0.00509,0.06241,-9999.0,-0.01994,-9999.0,-0.02358,-9999.0,0.02495,-9999.0,-9999.0,0.04767,-9999.0
71475,13287,3.35196931805,0.879611185923,3.6173678E-4,17.254,0.128767,17.098,0.123448,16.789,0.121494,16.045,0.115657,15.858,0.110943,15.309,0.0976893,15.158,0.090502,14.682,0.068509,14.603,0.0621267,14.507,0.0501096,14.445,0.0397024,14.422,0.0370575,12.829,12.877,12.34,8.677,13.389,12.956,12.834,1.0,1.3564,0.0643,14.637057,15.089967,14.038154,0.3802,1.051813,0.165,5092.68,0.028749056,0.012001,,,3.351945,0.879706,20.17,Star,ugriz,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5160.39,43.13,4.544,0.054,0.347,0.032,-9999.0,0.0,-16.76,1.24,-10.66,1.41,0,-15.89,1.63,-11.12,2.06,0,-16.63,1.4,-10.77,1.67,0,-17.63,0.86,-10.54,1.22,1,0,-0.039,5133.18,4.391,0.154,0.02303,0.06095,-9999.0,0.02101,-9999.0,0.01484,-9999.0,-0.03166,-9999.0,-9999.0,0.03563,-9999.0
71475,13896,3.70127505723,0.814741092642,3.6963177E-4,15.982,0.104481,15.745,0.100166,15.657,0.0985795,15.103,0.0938442,15.038,0.0900186,14.659,0.0792648,14.528,0.0734331,14.234,0.055588,14.196,0.0504095,14.107,0.0406588,14.082,0.0322145,14.071,0.0300684,12.649,12.69,12.354,8.472,13.04,12.693,12.699,1.0,1.2396,0.0526,14.153271,14.50023,13.648055,0.1887,0.852175,0.094,5759.0,0.023326913,0.012001,,,3.70126,0.81474,23.47,Star,gri,14.51,14.12,14.2,99.0,99.0,99.0,99.0,5587.64,45.08,4.289,0.056,-0.543,0.033,-9999.0,0.0,-39.51,0.86,-33.41,1.1,0,-37.18,1.38,-32.41,1.87,0,-39.12,0.99,-33.27,1.34,0,-39.71,0.92,-32.62,1.27,1,0,0.139,5606.95,4.346,-0.43,0.09809,-0.16096,-9999.0,0.19717,-9999.0,0.11981,-9999.0,0.13262,-9999.0,-9999.0,0.02388,-9999.0
